Timestamp,level,Component,Message
2024-01-15 08:12:37,INFO,Scheduler,File loaded successfully
2024-01-15 08:12:45,INFO,DataLoader,Batch 3573 processed successfully
2024-01-15 08:12:54,WARN,Scheduler,"Retrying connection, attempt 2984"
2024-01-15 08:13:03,INFO,Validator,Checkpoint saved
2024-01-15 08:13:12,ERROR,Validator,Unhandled exception: KeyError('customer_id')
2024-01-15 08:13:20,INFO,Validator,Checkpoint saved
2024-01-15 08:13:29,INFO,Exporter,Batch 1426 processed successfully
2024-01-15 08:13:38,INFO,Scheduler,File loaded successfully
2024-01-15 08:13:46,INFO,Scheduler,Checkpoint saved
2024-01-15 08:13:55,INFO,Transformer,Checkpoint saved
2024-01-15 08:14:04,ERROR,Validator,Unhandled exception: KeyError('customer_id')
2024-01-15 08:14:12,ERROR,Transformer,Failed to write output file: permission denied
2024-01-15 08:14:21,ERROR,Transformer,Null value found in column: amount
2024-01-15 08:14:30,DEBUG,Scheduler,Entering function process_batch()
2024-01-15 08:14:39,DEBUG,Scheduler,Cache hit ratio: 3146%
2024-01-15 08:14:47,INFO,Transformer,Batch 46 processed successfully
2024-01-15 08:14:56,ERROR,Transformer,Null detected in field: user_id
2024-01-15 08:15:05,INFO,Transformer,File loaded successfully
2024-01-15 08:15:13,ERROR,Scheduler,Unhandled exception: KeyError('customer_id')
2024-01-15 08:15:22,DEBUG,Exporter,Variable state: batch_size=4136
2024-01-15 08:15:31,DEBUG,Scheduler,Query plan: sequential scan on table orders
2024-01-15 08:15:40,WARN,Transformer,Deprecated config key used: legacy_mode
2024-01-15 08:15:48,ERROR,Validator,Schema validation failed for table: orders
2024-01-15 08:15:57,INFO,Validator,Job completed in 4425 seconds
2024-01-15 08:16:06,INFO,Transformer,Connection established to source system
2024-01-15 08:16:14,INFO,Exporter,Job completed in 4446 seconds
2024-01-15 08:16:23,INFO,Transformer,Connection established to source system
2024-01-15 08:16:32,DEBUG,DataLoader,Variable state: batch_size=3117
2024-01-15 08:16:40,INFO,Validator,Job completed in 3195 seconds
2024-01-15 08:16:49,WARN,Scheduler,"Partial batch processed, 1807 records skipped"
2024-01-15 08:16:58,INFO,Exporter,Connection established to source system
2024-01-15 08:17:07,INFO,Exporter,Batch 1353 processed successfully
2024-01-15 08:17:15,DEBUG,Scheduler,Variable state: batch_size=221
2024-01-15 08:17:24,WARN,DataLoader,"Record count mismatch: expected 3512, got 1112"
2024-01-15 08:17:33,DEBUG,Transformer,Entering function process_batch()
2024-01-15 08:17:41,INFO,Exporter,Job completed in 2765 seconds
2024-01-15 08:17:50,INFO,Exporter,Job completed in 671 seconds
2024-01-15 08:17:59,INFO,Scheduler,File loaded successfully
2024-01-15 08:18:08,ERROR,DataLoader,Duplicate primary key detected: 255
2024-01-15 08:18:16,INFO,DataLoader,Checkpoint saved
2024-01-15 08:18:25,INFO,DataLoader,Checkpoint saved
2024-01-15 08:18:34,ERROR,Validator,Null detected in field: user_id
2024-01-15 08:18:42,DEBUG,DataLoader,Cache hit ratio: 2549%
2024-01-15 08:18:51,WARN,Validator,"Partial batch processed, 3075 records skipped"
2024-01-15 08:19:00,DEBUG,Transformer,Entering function process_batch()
2024-01-15 08:19:08,INFO,Validator,Batch 4919 processed successfully
2024-01-15 08:19:17,ERROR,Scheduler,Duplicate primary key detected: 337
2024-01-15 08:19:26,WARN,Validator,"Record count mismatch: expected 4145, got 2796"
2024-01-15 08:19:35,INFO,Exporter,Connection established to source system
2024-01-15 08:19:43,DEBUG,Exporter,Cache hit ratio: 3568%
2024-01-15 08:19:52,ERROR,Validator,Unhandled exception: KeyError('customer_id')
2024-01-15 08:20:01,WARN,Scheduler,Deprecated config key used: legacy_mode
2024-01-15 08:20:09,DEBUG,DataLoader,Memory usage: 3693MB
2024-01-15 08:20:18,ERROR,Scheduler,Unhandled exception: KeyError('customer_id')
2024-01-15 08:20:27,INFO,Validator,Starting data load
2024-01-15 08:20:35,INFO,Validator,Job completed in 2291 seconds
2024-01-15 08:20:44,ERROR,Validator,Unhandled exception: KeyError('customer_id')
2024-01-15 08:20:53,DEBUG,DataLoader,Cache hit ratio: 3330%
2024-01-15 08:21:02,WARN,Transformer,Slow query detected: 4021ms
2024-01-15 08:21:10,ERROR,DataLoader,Connection timeout after 1816 seconds
2024-01-15 08:21:19,ERROR,Validator,Failed to write output file: permission denied
2024-01-15 08:21:28,WARN,Scheduler,Deprecated config key used: legacy_mode
2024-01-15 08:21:36,INFO,Exporter,Job completed in 2512 seconds
2024-01-15 08:21:45,INFO,Transformer,Job completed in 980 seconds
2024-01-15 08:21:54,DEBUG,Transformer,Cache hit ratio: 1773%
2024-01-15 08:22:03,INFO,Scheduler,Checkpoint saved
2024-01-15 08:22:11,DEBUG,Transformer,Memory usage: 1864MB
2024-01-15 08:22:20,INFO,DataLoader,Batch 4376 processed successfully
2024-01-15 08:22:29,INFO,DataLoader,Checkpoint saved
2024-01-15 08:22:37,ERROR,Exporter,Null value found in column: amount
2024-01-15 08:22:46,INFO,Exporter,Connection established to source system
2024-01-15 08:22:55,DEBUG,Validator,Query plan: sequential scan on table orders
2024-01-15 08:23:03,INFO,DataLoader,Checkpoint saved
2024-01-15 08:23:12,INFO,Scheduler,Job completed in 698 seconds
2024-01-15 08:23:21,INFO,Exporter,Checkpoint saved
2024-01-15 08:23:30,ERROR,Exporter,Schema validation failed for table: orders
2024-01-15 08:23:38,DEBUG,Exporter,Memory usage: 4659MB
2024-01-15 08:23:47,WARN,DataLoader,"Retrying connection, attempt 1729"
2024-01-15 08:23:56,ERROR,Transformer,Null detected in field: user_id
2024-01-15 08:24:04,INFO,DataLoader,Connection established to source system
2024-01-15 08:24:13,WARN,DataLoader,"Retrying connection, attempt 2361"
2024-01-15 08:24:22,ERROR,Exporter,Null value found in column: amount
2024-01-15 08:24:30,ERROR,Scheduler,Failed to write output file: permission denied
2024-01-15 08:24:39,INFO,Transformer,Batch 1221 processed successfully
2024-01-15 08:24:48,DEBUG,DataLoader,Entering function process_batch()
2024-01-15 08:24:57,WARN,Scheduler,Deprecated config key used: legacy_mode
2024-01-15 08:25:05,WARN,Validator,Slow query detected: 2231ms
2024-01-15 08:25:14,WARN,Exporter,"Record count mismatch: expected 4900, got 327"
2024-01-15 08:25:23,DEBUG,Validator,Variable state: batch_size=2052
2024-01-15 08:25:31,INFO,Scheduler,Checkpoint saved
2024-01-15 08:25:40,WARN,Transformer,Slow query detected: 4252ms
2024-01-15 08:25:49,DEBUG,Transformer,Variable state: batch_size=3571
2024-01-15 08:25:58,DEBUG,Exporter,Memory usage: 3346MB
2024-01-15 08:26:06,INFO,DataLoader,Starting data load
2024-01-15 08:26:15,ERROR,Validator,Failed to write output file: permission denied
2024-01-15 08:26:24,INFO,DataLoader,Job completed in 2068 seconds
2024-01-15 08:26:32,INFO,Exporter,Checkpoint saved
2024-01-15 08:26:41,WARN,DataLoader,"Retrying connection, attempt 4248"
2024-01-15 08:26:50,ERROR,Exporter,Failed to write output file: permission denied
2024-01-15 08:26:58,INFO,Scheduler,Starting data load
2024-01-15 08:27:07,DEBUG,Exporter,Entering function process_batch()
2024-01-15 08:27:16,ERROR,Transformer,Connection timeout after 4513 seconds
2024-01-15 08:27:25,WARN,DataLoader,"Retrying connection, attempt 930"
2024-01-15 08:27:33,DEBUG,Transformer,Query plan: sequential scan on table orders
2024-01-15 08:27:42,ERROR,Exporter,Duplicate primary key detected: 3953
2024-01-15 08:27:51,INFO,Scheduler,Starting data load
2024-01-15 08:27:59,DEBUG,Scheduler,Cache hit ratio: 572%
2024-01-15 08:28:08,ERROR,Exporter,Connection timeout after 4160 seconds
2024-01-15 08:28:17,DEBUG,Validator,Memory usage: 4809MB
2024-01-15 08:28:25,DEBUG,Exporter,Cache hit ratio: 3659%
2024-01-15 08:28:34,WARN,Validator,"Partial batch processed, 4452 records skipped"
2024-01-15 08:28:43,WARN,Validator,"Retrying connection, attempt 1957"
2024-01-15 08:28:52,INFO,Exporter,File loaded successfully
2024-01-15 08:29:00,ERROR,Exporter,Schema validation failed for table: orders
2024-01-15 08:29:09,DEBUG,Transformer,Variable state: batch_size=4835
2024-01-15 08:29:18,DEBUG,Exporter,Entering function process_batch()
2024-01-15 08:29:26,INFO,Transformer,Connection established to source system
2024-01-15 08:29:35,WARN,Validator,Deprecated config key used: legacy_mode
2024-01-15 08:29:44,DEBUG,Scheduler,Query plan: sequential scan on table orders
2024-01-15 08:29:53,DEBUG,DataLoader,Variable state: batch_size=561
2024-01-15 08:30:01,ERROR,Validator,Null detected in field: user_id
2024-01-15 08:30:10,DEBUG,DataLoader,Query plan: sequential scan on table orders
2024-01-15 08:30:19,DEBUG,DataLoader,Memory usage: 460MB
2024-01-15 08:30:27,INFO,Exporter,Starting data load
2024-01-15 08:30:36,INFO,Transformer,Starting data load
2024-01-15 08:30:45,WARN,Exporter,"Partial batch processed, 1973 records skipped"
2024-01-15 08:30:53,DEBUG,Transformer,Cache hit ratio: 3778%
2024-01-15 08:31:02,WARN,DataLoader,Slow query detected: 2357ms
2024-01-15 08:31:11,INFO,Exporter,Job completed in 4814 seconds
2024-01-15 08:31:20,ERROR,Exporter,Failed to write output file: permission denied
2024-01-15 08:31:28,DEBUG,Transformer,Query plan: sequential scan on table orders
2024-01-15 08:31:37,INFO,Scheduler,Job completed in 4709 seconds
2024-01-15 08:31:46,DEBUG,Validator,Entering function process_batch()
2024-01-15 08:31:54,INFO,DataLoader,Checkpoint saved
2024-01-15 08:32:03,ERROR,Transformer,Unhandled exception: KeyError('customer_id')
2024-01-15 08:32:12,ERROR,Scheduler,Connection timeout after 1121 seconds
2024-01-15 08:32:21,DEBUG,DataLoader,Memory usage: 3612MB
2024-01-15 08:32:29,WARN,Transformer,"Record count mismatch: expected 2418, got 2677"
2024-01-15 08:32:38,ERROR,Transformer,Null detected in field: user_id
2024-01-15 08:32:47,DEBUG,Validator,Variable state: batch_size=4111
2024-01-15 08:32:55,DEBUG,Validator,Query plan: sequential scan on table orders
2024-01-15 08:33:04,ERROR,Exporter,Null value found in column: amount
2024-01-15 08:33:13,DEBUG,Exporter,Variable state: batch_size=2997
2024-01-15 08:33:21,ERROR,DataLoader,Connection timeout after 4396 seconds
2024-01-15 08:33:30,WARN,Validator,"Partial batch processed, 3122 records skipped"
2024-01-15 08:33:39,INFO,Transformer,Connection established to source system
2024-01-15 08:33:48,INFO,Scheduler,Starting data load
2024-01-15 08:33:56,DEBUG,Validator,Query plan: sequential scan on table orders
2024-01-15 08:34:05,INFO,DataLoader,Job completed in 4036 seconds
2024-01-15 08:34:14,INFO,Scheduler,Starting data load
2024-01-15 08:34:22,INFO,Scheduler,Connection established to source system
2024-01-15 08:34:31,DEBUG,DataLoader,Query plan: sequential scan on table orders
2024-01-15 08:34:40,INFO,Validator,Starting data load
2024-01-15 08:34:48,DEBUG,Validator,Entering function process_batch()
2024-01-15 08:34:57,DEBUG,Validator,Entering function process_batch()
2024-01-15 08:35:06,INFO,DataLoader,Connection established to source system
2024-01-15 08:35:15,ERROR,Scheduler,Null value found in column: amount
2024-01-15 08:35:23,INFO,Transformer,Checkpoint saved
2024-01-15 08:35:32,DEBUG,Scheduler,Cache hit ratio: 4804%
2024-01-15 08:35:41,ERROR,Transformer,Connection timeout after 1209 seconds
2024-01-15 08:35:49,INFO,Transformer,Starting data load
2024-01-15 08:35:58,ERROR,DataLoader,Failed to write output file: permission denied
2024-01-15 08:36:07,INFO,Transformer,Checkpoint saved
2024-01-15 08:36:16,INFO,DataLoader,Starting data load
2024-01-15 08:36:24,INFO,DataLoader,Connection established to source system
2024-01-15 08:36:33,WARN,DataLoader,Slow query detected: 4128ms
2024-01-15 08:36:42,DEBUG,DataLoader,Variable state: batch_size=2471
2024-01-15 08:36:50,ERROR,DataLoader,Null value found in column: amount
2024-01-15 08:36:59,INFO,DataLoader,Connection established to source system
2024-01-15 08:37:08,DEBUG,Validator,Variable state: batch_size=1216
2024-01-15 08:37:16,INFO,Scheduler,Batch 4796 processed successfully
2024-01-15 08:37:25,ERROR,Exporter,Unhandled exception: KeyError('customer_id')
2024-01-15 08:37:34,WARN,Scheduler,Slow query detected: 813ms
2024-01-15 08:37:43,DEBUG,Scheduler,Cache hit ratio: 3524%
2024-01-15 08:37:51,DEBUG,Exporter,Memory usage: 3716MB
2024-01-15 08:38:00,INFO,DataLoader,Job completed in 3497 seconds
2024-01-15 08:38:09,ERROR,Validator,Null detected in field: user_id
2024-01-15 08:38:17,INFO,DataLoader,File loaded successfully
2024-01-15 08:38:26,ERROR,Validator,Duplicate primary key detected: 1066
2024-01-15 08:38:35,INFO,Scheduler,Checkpoint saved
2024-01-15 08:38:43,INFO,Exporter,Batch 422 processed successfully
2024-01-15 08:38:52,WARN,Validator,"Record count mismatch: expected 4735, got 4157"
2024-01-15 08:39:01,INFO,Exporter,Starting data load
2024-01-15 08:39:10,DEBUG,Validator,Entering function process_batch()
2024-01-15 08:39:18,INFO,Exporter,Checkpoint saved
2024-01-15 08:39:27,WARN,Validator,"Record count mismatch: expected 1478, got 2239"
2024-01-15 08:39:36,ERROR,Validator,Connection timeout after 2876 seconds
2024-01-15 08:39:44,INFO,Transformer,Checkpoint saved
2024-01-15 08:39:53,INFO,DataLoader,File loaded successfully
2024-01-15 08:40:02,INFO,Exporter,Job completed in 1290 seconds
2024-01-15 08:40:11,INFO,Validator,Checkpoint saved
2024-01-15 08:40:19,DEBUG,Transformer,Cache hit ratio: 408%
2024-01-15 08:40:28,INFO,Exporter,Connection established to source system
2024-01-15 08:40:37,INFO,Transformer,Checkpoint saved
2024-01-15 08:40:45,INFO,Validator,Batch 4859 processed successfully
2024-01-15 08:40:54,WARN,Validator,"Record count mismatch: expected 1807, got 3238"
2024-01-15 08:41:03,DEBUG,DataLoader,Entering function process_batch()
2024-01-15 08:41:11,DEBUG,Transformer,Memory usage: 2372MB
2024-01-15 08:41:20,INFO,Exporter,Batch 3528 processed successfully
2024-01-15 08:41:29,INFO,Scheduler,Batch 1886 processed successfully
2024-01-15 08:41:38,WARN,Validator,"Record count mismatch: expected 3253, got 347"
2024-01-15 08:41:46,INFO,Exporter,File loaded successfully
2024-01-15 08:41:55,INFO,Exporter,Batch 3422 processed successfully
2024-01-15 08:42:04,INFO,DataLoader,Job completed in 1408 seconds
2024-01-15 08:42:12,DEBUG,Validator,Entering function process_batch()
2024-01-15 08:42:21,INFO,Scheduler,Connection established to source system
2024-01-15 08:42:30,INFO,Validator,Batch 2782 processed successfully
2024-01-15 08:42:38,INFO,Transformer,File loaded successfully
2024-01-15 08:42:47,WARN,Transformer,Deprecated config key used: legacy_mode
2024-01-15 08:42:56,INFO,Transformer,Job completed in 1617 seconds
2024-01-15 08:43:05,WARN,DataLoader,"Retrying connection, attempt 4048"
2024-01-15 08:43:13,ERROR,Scheduler,Schema validation failed for table: orders
2024-01-15 08:43:22,DEBUG,Validator,Cache hit ratio: 3603%
2024-01-15 08:43:31,WARN,Validator,Deprecated config key used: legacy_mode
2024-01-15 08:43:39,INFO,DataLoader,Job completed in 3783 seconds
2024-01-15 08:43:48,INFO,Validator,Job completed in 629 seconds
2024-01-15 08:43:57,WARN,Scheduler,Slow query detected: 3791ms
2024-01-15 08:44:06,WARN,DataLoader,Slow query detected: 4684ms
2024-01-15 08:44:14,INFO,Exporter,Checkpoint saved
2024-01-15 08:44:23,WARN,Validator,"Record count mismatch: expected 4134, got 1414"
2024-01-15 08:44:32,INFO,Exporter,Connection established to source system
2024-01-15 08:44:40,WARN,Validator,Deprecated config key used: legacy_mode
2024-01-15 08:44:49,INFO,Validator,Batch 4898 processed successfully
2024-01-15 08:44:58,ERROR,Validator,Null value found in column: amount
2024-01-15 08:45:06,WARN,Exporter,Deprecated config key used: legacy_mode
2024-01-15 08:45:15,DEBUG,Validator,Entering function process_batch()
2024-01-15 08:45:24,DEBUG,Validator,Query plan: sequential scan on table orders
2024-01-15 08:45:33,ERROR,DataLoader,Connection timeout after 4579 seconds
2024-01-15 08:45:41,ERROR,Validator,Duplicate primary key detected: 1047
2024-01-15 08:45:50,INFO,Exporter,Checkpoint saved
2024-01-15 08:45:59,INFO,Transformer,Starting data load
2024-01-15 08:46:07,INFO,Transformer,Starting data load
2024-01-15 08:46:16,DEBUG,DataLoader,Variable state: batch_size=4422
2024-01-15 08:46:25,INFO,Validator,Checkpoint saved
2024-01-15 08:46:34,INFO,Transformer,Starting data load
2024-01-15 08:46:42,INFO,Validator,Batch 1946 processed successfully
2024-01-15 08:46:51,WARN,Exporter,"Retrying connection, attempt 4375"
2024-01-15 08:47:00,INFO,Exporter,Starting data load
2024-01-15 08:47:08,DEBUG,Exporter,Memory usage: 3129MB
2024-01-15 08:47:17,WARN,Transformer,"Retrying connection, attempt 4954"
2024-01-15 08:47:26,DEBUG,DataLoader,Query plan: sequential scan on table orders
2024-01-15 08:47:34,DEBUG,Scheduler,Entering function process_batch()
2024-01-15 08:47:43,ERROR,Validator,Schema validation failed for table: orders
2024-01-15 08:47:52,DEBUG,DataLoader,Cache hit ratio: 3696%
2024-01-15 08:48:01,DEBUG,Exporter,Entering function process_batch()
2024-01-15 08:48:09,INFO,Exporter,File loaded successfully
2024-01-15 08:48:18,INFO,DataLoader,Batch 2747 processed successfully
2024-01-15 08:48:27,INFO,Validator,Connection established to source system
2024-01-15 08:48:35,INFO,DataLoader,File loaded successfully
2024-01-15 08:48:44,INFO,Transformer,Checkpoint saved
2024-01-15 08:48:53,INFO,Validator,Starting data load
2024-01-15 08:49:01,INFO,Exporter,Batch 3745 processed successfully
2024-01-15 08:49:10,INFO,Exporter,Checkpoint saved
2024-01-15 08:49:19,ERROR,Scheduler,Null detected in field: user_id
2024-01-15 08:49:28,INFO,Scheduler,Job completed in 1971 seconds
2024-01-15 08:49:36,INFO,DataLoader,Checkpoint saved
2024-01-15 08:49:45,DEBUG,Scheduler,Variable state: batch_size=4159
2024-01-15 08:49:54,INFO,Exporter,File loaded successfully
2024-01-15 08:50:02,INFO,DataLoader,Job completed in 554 seconds
2024-01-15 08:50:11,INFO,DataLoader,Checkpoint saved
2024-01-15 08:50:20,INFO,Scheduler,Job completed in 1435 seconds
2024-01-15 08:50:29,DEBUG,Exporter,Cache hit ratio: 1105%
2024-01-15 08:50:37,ERROR,Exporter,Null value found in column: amount
2024-01-15 08:50:46,INFO,Transformer,File loaded successfully
2024-01-15 08:50:55,WARN,Scheduler,Slow query detected: 2076ms
2024-01-15 08:51:03,ERROR,Transformer,Connection timeout after 2925 seconds
2024-01-15 08:51:12,DEBUG,Validator,Memory usage: 1020MB
2024-01-15 08:51:21,INFO,Exporter,Batch 3603 processed successfully
2024-01-15 08:51:29,INFO,Transformer,Connection established to source system
2024-01-15 08:51:38,DEBUG,Scheduler,Memory usage: 677MB
2024-01-15 08:51:47,INFO,Scheduler,Starting data load
2024-01-15 08:51:56,INFO,DataLoader,Job completed in 2422 seconds
2024-01-15 08:52:04,INFO,Exporter,Starting data load
2024-01-15 08:52:13,INFO,Validator,Checkpoint saved
2024-01-15 08:52:22,ERROR,DataLoader,Null value found in column: amount
2024-01-15 08:52:30,WARN,Transformer,"Record count mismatch: expected 1170, got 4978"
2024-01-15 08:52:39,ERROR,Exporter,Null value found in column: amount
2024-01-15 08:52:48,INFO,Validator,Job completed in 3137 seconds
2024-01-15 08:52:56,INFO,Transformer,Batch 3686 processed successfully
2024-01-15 08:53:05,INFO,DataLoader,Checkpoint saved
2024-01-15 08:53:14,INFO,Validator,Batch 2284 processed successfully
2024-01-15 08:53:23,DEBUG,DataLoader,Cache hit ratio: 4089%
2024-01-15 08:53:31,INFO,Scheduler,File loaded successfully
2024-01-15 08:53:40,ERROR,Transformer,Unhandled exception: KeyError('customer_id')
2024-01-15 08:53:49,INFO,Transformer,File loaded successfully
2024-01-15 08:53:57,DEBUG,Exporter,Entering function process_batch()
2024-01-15 08:54:06,ERROR,Scheduler,Unhandled exception: KeyError('customer_id')
2024-01-15 08:54:15,DEBUG,Transformer,Memory usage: 4168MB
2024-01-15 08:54:24,INFO,Transformer,Starting data load
2024-01-15 08:54:32,INFO,Scheduler,Checkpoint saved
2024-01-15 08:54:41,ERROR,Scheduler,Null detected in field: user_id
2024-01-15 08:54:50,INFO,Exporter,Checkpoint saved
2024-01-15 08:54:58,DEBUG,DataLoader,Cache hit ratio: 2598%
2024-01-15 08:55:07,INFO,Scheduler,Job completed in 1052 seconds
2024-01-15 08:55:16,ERROR,Transformer,Duplicate primary key detected: 1058
2024-01-15 08:55:24,WARN,DataLoader,"Record count mismatch: expected 4245, got 1254"
2024-01-15 08:55:33,INFO,Transformer,Job completed in 1848 seconds
2024-01-15 08:55:42,DEBUG,Scheduler,Memory usage: 647MB
2024-01-15 08:55:51,INFO,Scheduler,Job completed in 1026 seconds
2024-01-15 08:55:59,WARN,DataLoader,"Partial batch processed, 1382 records skipped"
2024-01-15 08:56:08,DEBUG,Transformer,Cache hit ratio: 4958%
2024-01-15 08:56:17,DEBUG,Scheduler,Entering function process_batch()
2024-01-15 08:56:25,INFO,Scheduler,Job completed in 1727 seconds
2024-01-15 08:56:34,INFO,DataLoader,Connection established to source system
2024-01-15 08:56:43,ERROR,Validator,Schema validation failed for table: orders
2024-01-15 08:56:51,INFO,DataLoader,Batch 491 processed successfully
2024-01-15 08:57:00,INFO,Exporter,Connection established to source system
2024-01-15 08:57:09,WARN,Validator,Deprecated config key used: legacy_mode
2024-01-15 08:57:18,INFO,Validator,Checkpoint saved
2024-01-15 08:57:26,INFO,Exporter,File loaded successfully
2024-01-15 08:57:35,INFO,DataLoader,File loaded successfully
2024-01-15 08:57:44,DEBUG,Exporter,Cache hit ratio: 1309%
